Filename,Title,Keywords,Category
75835175-1ffb-4f54-bf44-5131e13ecd1f.jpg,Octopus Salad,"light meal,sophisticated,mixed greens,fresh ingredients,octopus,nutritious,elegant,lemon vinaigrette,gourmet,seafood lovers,easy recipe,healthy,colorful,seafood,quick meal,salad,cherry tomatoes,summer food",12
3457c773-4fa6-4569-94fa-830efc330ce3.jpg,Sushi Platter with Assorted Nigiri and Sashimi,"delicate flavors,salmon,Japanese cuisine,fine dining,nigiri,sashimi,sushi night,tuna,raw fish,fresh seafood,wasabi,culinary art,elegant presentation,yellowtail,shrimp,sushi lovers,soy sauce,authentic experience,sushi platter,food styling",12
407302c9-b6b9-4053-b8b2-8598a2b9b9f1.jpg,Decorative Throw Blanket,"beautiful pattern,seasonal decor,soft texture,warmth,throw blanket,cozy decor,interior styling,comfort,home accents",12
d7a4fa9e-c0d0-4447-85c4-ec6afe122f3d.jpg,Salted Caramel Pecan Pie,"classic recipe,dessert lovers,salted caramel,sweet and salty,pecan pie,sweet treat,dessert,culinary delight,comfort food,family recipe,holiday favorite,baking,elegant presentation,indulgent,decadent,homemade,special occasion",12
c1a8ab94-38f1-4c12-9f4a-317afd8d00df.jpg,Decadent Red Velvet Cupcakes with Cream Cheese Frosting,"moist,elegant presentation,sweets,cream cheese frosting,celebration,decorative,baking,dessert,frosting,classic flavors,cake lovers,party food,red velvet,cupcakes,sweet treats,indulgent,colorful,homemade",12
833f71a2-1fb3-44db-b0a5-e844011d10fe.jpg,Mango Sorbet,"frozen treat,culinary delight,easy recipe,sorbet,refreshing,dairy-free,light,exotic flavors,delicious,mango sorbet,dessert,sweet treat,tropical,summer dessert,homemade,fruit-based,vegan",12
ae84b201-2600-4437-9243-bf79deca3a98.jpg,Salted Caramel Pecan Pie,"pecan pie,indulgent,homemade,dessert lovers,sweet treat,sweet and salty,salted caramel,decadent,classic recipe,family recipe,comfort food,baking,holiday favorite,dessert,elegant presentation,special occasion,culinary delight",12
c629e608-e235-4765-805f-ec8979b40164.jpg,Stylish Wall Clock,"timepiece,interior design,statement piece,wall clock,minimalist decor,home decor,modern design,timeless style,functional art",12
943a61d8-54e1-4e38-8a1e-28e62ad47bac.jpg,Squid Salad,"fresh ingredients,appetizer,simple,salad,tangy vinaigrette,healthy,bell peppers,easy recipe,nutritious,gourmet,seafood lovers,colorful,seafood,light meal,olives,squid,quick meal,refreshing",12
b935d4c0-3ca5-48c6-988a-51f8b7f66a15.jpg,Tender Lamb Chops with Rosemary and Mint,"fine dining,comforting meal,grilled meat,mint garnish,lamb chops,elegant dinner,garlic mashed potatoes,rosemary,special occasion,gourmet dining,succulent lamb,seasoned meat,home cooking,unique flavors,culinary art,rich flavors,grilling,meat lovers",12
b23a5fb6-2c47-48d6-9a6f-b580e9440a0a.jpg,Easter Sunday Service with Colorful Lilies,"joyful worship,holiday traditions,Easter blessings,faith and joy,colorful lilies,uplifting spirit,community gathering,seasonal beauty,Easter service,festive decor,togetherness,peaceful atmosphere,serene environment,spiritual celebration,celebration of life",12
85efbcd5-fafe-465a-a8cf-b40bd9241bd0.jpg,Warm Apple Crisp with Cinnamon and Oats,"nostalgic,warm dessert,homemade,cinnamon,apple crisp,comfort food,baking,dessert,ice cream,oats,easy recipe,fruit dessert,satisfying,classic,sweet and tart,fall favorite,family recipe,cozy",12
448a80b1-c40d-4eb8-89f0-04291fe7cff0.jpg,Italian Meatballs in Marinara Sauce,"Italian cuisine,classic recipe,meat lovers,rich sauce,Italian flavors,culinary heritage,pasta lovers,Sunday meal,hearty meal,traditional flavors,meatballs,homemade,marinara sauce,spaghetti,beef and pork,comfort food,gourmet pasta,family dinner",12
a17314a3-3050-4179-9f7a-9e2c96c92b89.jpg,Christmas Cookies on a Festive Platter,"family traditions,treats for sharing,festive platter,Christmas cookies,delicious memories,iced treats,holiday baking,festive flavors,holiday spirit,cheerful flavors,sweet delights,culinary creations,baking joy,cookie exchange,seasonal sweets",12
60ed913f-1bc6-46a4-96fd-3a0b01246326.jpg,Cheesecake Brownies,"family favorite,layered dessert,decadent,brownies,comfort food,cheesecake brownies,indulgent,party food,rich flavors,easy recipe,homemade,fudgy,dessert,sweet treat,cheesecake,baking,dessert lovers",12
68ea3a1b-6022-41d4-8e50-94dc5823b4ab.jpg,Lavender Honey Ice Cream,"ice cream,refreshing,creamy,chilled desserts,unique flavor,dessert lovers,honey,elegant,culinary creativity,gourmet,artisan,homemade,floral,lavender,frozen treat,summer dessert,sweets",12
fe71fb82-78ab-4798-9f95-d6a1a633c552.jpg,Galactic Christmas Tree with Alien Ornaments,"intergalactic traditions,festive beauty,joyful atmosphere,celebration of diversity,unique decorations,space festivities,cosmic cheer,holiday magic,ethereal lights,universal spirit,colorful display,holiday wonder,extraterrestrial life,alien ornaments,galactic Christmas tree",12
6ce6c685-b1bc-4156-bd39-a3a2994fa9f4.jpg,Savory Vegetable Stir-Fry with Tofu,"stir-fry,jasmine rice,healthy eating,plant-based,comfort food,meal prep,vegetable dish,nutritious dish,colorful vegetables,homemade,soy sauce,vegan,quick meals,Asian flavors,tofu,wholesome meal,vegetarian cuisine,food photography",12
c61fa96c-cb12-4b50-a859-3414d37912fe.jpg,Dragon Spa Day at the Crystal Springs,"dragon spa,Crystal Springs,mineral pools,relaxing dragons,waterfall mist,fantasy relaxation,sparkling amethysts,harp music,dragon wellness,mythical creatures,enchanted setting,rejuvenation,ethereal beauty,fantasy retreat,magic crystals,spa day,dragon pampering,healing springs",12
0ce5ca3e-daa6-4a98-a9d8-775d5a826095.jpg,Pumpkin Spice Latte Cheesecake,"whipped cream,fall flavors,party food,homemade,seasonal,sweet treat,dessert,classic dessert,baking,comfort food,satisfying,graham cracker crust,pumpkin spice,indulgent,spice,easy recipe,pumpkin cheesecake,festive",12
6e7299e3-adf0-43e8-a70e-4e3b062964dc.jpg,Pegasus Sky Race Over Floating Isles,"Pegasus race,Floating Isles,sky competition,winged horses,cloud race,mythical event,rainbows,island cliffs,glowing lights,aerial sports,starlit skies,fantasy excitement,flying creatures,mythical creatures,spectators,legendary race,cheering crowds,fantasy sky",12
ec7fc0aa-8b38-4d9d-b9aa-9e83688b1b8b.jpg,Chocolate Hazelnut Tart,"culinary artistry,dessert lovers,elegant presentation,special occasion,gourmet,fancy dessert,ganache,sweet treat,homemade,rich flavors,chocolate tart,hazelnut,buttery crust,decadent,indulgent,dessert,baking",12
33020bdc-6298-45c2-bfde-129b0e0b51e5.jpg,Raspberry Almond Cake,"simple pleasures,elegant presentation,sweet treat,moist,afternoon tea,gourmet,easy recipe,raspberries,fruit dessert,satisfying,homemade,baking,refreshing,light glaze,dessert lovers,dessert,almond cake",12
d5663cd0-8181-4a58-8967-585abf964c41.jpg,Banoffee Pie,"layered,delicious,indulgent,caramel,sweet treat,no-bake,homemade,family favorite,banoffee pie,bananas,party food,comfort food,rich flavors,easy recipe,classic dessert,dessert,whipped cream",12
c7dae2ba-9c29-4c16-86cc-92ea7a06c528.jpg,Cozy Throw Pillows on a Sofa,"throw pillows,comfort,cozy decor,warmth,decorative cushions,living room style,textures and patterns,home accents,plush sofa",12
7e1f2adf-6beb-460c-a92d-e35290b92423.jpg,Grilled Sardines with Garlic and Lemon,"natural flavors,fresh fish,garlic seasoning,simple flavors,Mediterranean diet,coastal dish,rustic cooking,healthy meal,lemon garnish,easy cooking,summer grilling,traditional recipes,grilled vegetables,seafood lovers,wholesome food,light meal,Mediterranean cuisine,grilled sardines",12
ba026f1d-6276-4ce5-9107-33ea00f22893.jpg,Cozy Cabin in the Snow with Holiday Lights,"peaceful scene,nature's beauty,holiday lights,wreath,cozy cabin,festive atmosphere,winter wonderland,holiday escape,snowy landscape,warm ambiance,winter retreat,rustic charm,snow-covered,seasonal joy,cabin in the woods",12
2f1320e7-c8c0-45ce-a3df-6aad64ac4d9f.jpg,Korean BBQ Short Ribs (Galbi),"short ribs,soy marinade,outdoor grilling,garlic,bold flavors,authentic taste,meat lovers,Asian cuisine,sesame flavor,char-grilled,marinated ribs,grilled meat,sweet and savory,succulent meat,Galbi,cultural cuisine,Korean BBQ,Korean flavors",12
634a7245-3851-461a-8d4a-0bef262c98b5.jpg,Winter Landscape with a Frozen Pond,"holiday joy,ice skating,frozen pond,snowy trees,nature's wonders,peaceful vibes,outdoor fun,magical ambiance,sunlight,winter play,children skating,serene environment,festive spirit,winter landscape,seasonal beauty",12
